"source","text"
"قانون حماية البيانات الشخصي - المادة 1 من قانون الإصدار","يعمل بأحكام هذا القانون والقانون المرافق في شأن حماية البيانات الشخصية المعالجة إلكترونيا جزئيا أو كليا لدى أي حائز أو متحكم أو معالج لها، وذلك بالنسبة للأشخاص الطبيعيين."
"قانون حماية البيانات الشخصي - المادة 2 من قانون الإصدار","تسري أحكام هذا القانون والقانون المرافق له على كل من ارتكب إحدى الجرائم المنصوص عليها في القانون المرافق متى كان الجاني من المصريين داخل الجمهورية أو خارجها، أو كان من غير المصريين المقيمين داخل الجمهورية، أو كان غير المصريين خارج الجمهورية إذا كان الفعل معاقبا عليه في الدولة التي وقع فيها تحت أي وصف قانوني، وكانت البيانات محل الجريمة لمصريين أو أجانب مقيمين داخل الجمهورية."
"قانون حماية البيانات الشخصي - المادة 3 من قانون الإصدار","لا تسري أحكام القانون المرافق على ما يأتي: 1. البيانات الشخصية التي يحتفظ بها الأشخاص الطبيعيون للغير ويتم معالجتها للاستخدام الشخصي. 2. البيانات الشخصية التي تتم معالجتها بغرض الحصول على البيانات الإحصائية الرسمية، أو تطبيقا لنص قانوني. 3. البيانات الشخصية التي تتم معالجتها حصرا للأغراض الإعلامية، بشرط أن تكون صحيحة ودقيقة، وألا تستخدم في أي أغراض أخرى، وذلك دون الإخلال بالتشريعات المنظمة للصحافة والإعلام. 4. البيانات الشخصية المتعلقة بمحاضر الضبط القضائي والتحقيقات والدعاوى القضائية. 5. البيانات الشخصية لدى جهات الأمن القومي، وما تقدره لاعتبارات أخرى. و يجب على المركز، بناء على طلب جهات الأمن القومي، إخطار المتحكم أو المعالج بتعديل أو محو أو عدم إظهار أو إتاحة أو تداول البيانات الشخصية، خالل مدة زمنية محددة، وفقا لاعتبارات الأمن القومي، ويلتزم المتحكم أو المعالج بتنفيذ ما ورد بالإخطار خالل المدة الزمنية المحددة به. 6. البيانات الشخصية لدى البنك المركزي المصري والجهات الخاضعة لرقابته وإشرافه، عدا شركات تحويل الأموال وشركات الصرافة، على أن يراعى في شأنهما القواعد المقررة من البنك المركزي المصري بشأن التعامل مع البيانات الشخصية."
"قانون حماية البيانات الشخصي - المادة 4 من قانون الإصدار","يصدر الوزير المعني بشئون الاتصالات وتكنولوجيا المعلومات اللائحة التنفيذية للقانون المرافق خالل ستة أشهر من تاريخ العمل بهذا القانون."
"قانون حماية البيانات الشخصي - المادة 5 من قانون الإصدار","تختص المحاكم الاقتصادية بنظر الجرائم التي ترتكب وفقا لأحكام القانون المرافق."
"قانون حماية البيانات الشخصي - المادة 6 من قانون الإصدار","يلتزم المخاطبون بأحكام هذا القانون بتوفيق أوضاعهم طبقا لأحكام القانون المرافق ولائحته التنفيذية، وذلك خالل سنة من تاريخ صدور اللائحة التنفيذية."
"قانون حماية البيانات الشخصي - المادة 7 من قانون الإصدار","ينشر هذا القانون في الجريدة الرسمية، ويعمل به بعد مضي ثالثة أشهر من اليوم التالي لتاريخ نشره. يبصم هذا القانون بخاتم الدولة، و ينفذ كقانون من قوانينها."
"قانون حماية البيانات الشخصي - الفصل الأول - مادة 1","في تطبيق أحكام هذا القانون يقصد بالمصطلحات التالية المعنى المبين قرين كل منها: البيانات الشخصية: أي بيانات متعلقة بشخص طبيعي محدد، أو يمكن تحديده، بشكل مباشر أو غير مباشر عن طريق الربط بينها وبين بيانات أخرى كالاسم، او الصوت، أو الصورة، أو رقم تعريفي، أو محدد للهوية عبر االنترنت، أو أي بيانات تحدد الهوية النفسية، أو الصحية، أو االقتصادية، أو الثقافية، أو االجتماعية. المعالجة: أي عملية إلكترونية أو تقنية لكتابة البيانات الشخصية، أو تجميعها، أو تسجيلها، او حفظها، أو تخزينها، أو دمجها، أو عرضها، أو إرسالها، أو استقبالها ، او تداولها، أو نشر ها، أو محو ها، أو تغيير ها، أو تعديل ها، أو استرجاعها، أو تحليلها وذلك باستخدام أي وسيط من الوسائط أو الأجهزة الإلكترونية أو التقنية سواء تم ذلك جزئيا أو كليا. البيانات الشخصية الحساسة: البيانات التي تفصح عن الصحة النفسية أو العقلية أو البدنية أو الجينية، أو بيانات القياسات الحيوية """"البيومترية"""" أو البيانات المالية أو المعتقدات الدينية أو الآراء السياسية أو الحالة الأمنية، وفي جميع الأحوال تعد بيانات الأطفال من البيانات الشخصية الحساسة. الشخص المعني بالبيانات: أي شخص طبيعي تنسب إليه بيانات شخصية معالجة إلكترونيا تدل عليه قانونا أو فعالا، وتمكن من تمييزه عن غيره. الحائز: أي شخص طبيعي أو اعتباري، يحوز ويحتفظ قانونيا أو فعليا ببيانات شخصية في أي صورة من الصور، أو على أية وسيلة تخزين سواء أكان هو المنشئ للبيانات، أو انتقلت إليه حيازتها بأية صورة. المتحكم: أي شخص طبيعي أو اعتباري، يكون له - بحكم أو طبيعة عمله – الحق في الحصول على البيانات الشخصية وتحديد طريقة وأسلوب ومعايير الاحتفاظ بها، أو معالجتها والتحكم فيها طبقا للغرض المحدد أو نشاطه. المعالج: أي شخص طبيعي أو اعتباري مختص، بطبيعة عمله، بمعالجة البيانات الشخصية لصالحه، أو لصالح المتحكم باالتفاق معه ووفقا لتعليماته. إتاحة البيانات الشخصية: كل وسيلة تحقق اتصال علم الغير بالبيانات الشخصية كاالطالع أو التداول أو النشر أو النقل أو االستخدام أو العرض أو االرسال أو االستقبال أو اإلفصاح عنها. أمن البيانات: إجراءات وعمليات تقنية وتنظيمية من شأنها الحفاظ على خصوصية وسرية وسالمة ووحدة البيانات الشخصية وتكاملها فيما بينها. خرق وانتهاك البيانات الشخصية: كل دخول غير مرخص به الى بيانات شخصية، أو وصول غير مشروع لها، أو أية عملية غير مشروعة لنسخ أو إرسال أو توزيع أو تبادل أو نقل أو تداول يهدف إلى الكشف أو الإفصاح عن البيانات الشخصية أو إتالفها أو تعديلها أثناء تخزينها أو نقلها أو معالجتها. حركة البيانات الشخصية عبر الحدود: نقل البيانات أو إتاحتها أو تسجيلها أو تخزينها أو تداولها أو نشر ها أو استخدامها أو عرضها أو إرسالها أو استقبالها أو استرجاعها أو معالجتها، من داخل النطاق الجغرافي لجمهورية مصر العربية إلى خارجه أو العكس. التسويق االلكتروني: إرسال أية رسالة أو بيان أو محتوى إعالني أو تسويقي بأية وسيلة تقنية ايا كانت طبيعتها أو صورتها تستهدف بشكل مباشر أو غير مباشر ترويج سلع أو خدمات أو التماسات، أو طلبات تجارية أو سياسية أو اجتماعية أو خيرية، موجهة إلى أشخاص بعينهم. جهات الأمن القومي: رئاسة الجمهورية، وزارة الدفاع، وزارة الداخلية، جهاز المخابرات العامة، هيئة الرقابة الإدارية. المركز: مركز حماية البيانات الشخصية. الترخيص: وثيقة رسمية تصدر عن المركز للشخص االعتباري تمنحه من خاللها الحق في مزاولة نشاط جمع البيانات الشخصية االلكترونية أو تخزينها أو نقلها أو معالجتها أو القيام بأنشطة التسويق االلكتروني أو كل ما سبق والتعامل عليها بأي صورة، وتحدد التزامات المرخص له وفق القواعد والشروط والإجراءات والمعايير الفنية المحددة بالالئحة التنفيذية، وذلك لمدة ثالث سنوات قابلة للتجديد لمدد أخرى. التصريح: وثيقة رسمية تصدر عن المركز للشخص الطبيعي أو االعتباري تمنحه من خاللها الحق في ممارسة نشاط جمع البيانات الشخصية االلكترونية أو تخزينها أو نقلها أو معالجتها أو القيام بأنشطة التسويق االلكتروني أو كل ما سبق والتعامل عليها بأي صورة، أو ألداء مهمة أو مهام معينة، و تحدد هذه الوثيقة التزامات المصرح له و فق القواعد والشروط والإجراءات والمعايير الفنية المحددة بالالئحة التنفيذية، لمدة مؤقتة لا تجاوز سنة ويجوز تجديدها ألكثر من مدة. االعتماد: شهادة تصدر عن المركز تفيد أن الشخص الطبيعي أو االعتباري قد استوفى جميع المتطلبات الفنية والقانونية والتنظيمية المحددة بالالئحة التنفيذية لهذا القانون؛ يكون بموجبها مؤهال لتقديم االستشارات في مجال حماية البيانات الشخصية. الوزير المختص: الوزير المعني بشئون االتصاالت وتكنولوجيا المعلومات."
"قانون حماية البيانات الشخصي - الفصل الثاني - مادة 2","لا يجوز جمع البيانات الشخصية أو معالجتها أو الإفصاح أو االفشاء عنها بأية وسيلة من الوسائل إال بموافقة صريحة من الشخص المعني بالبيانات أو في الأحوال المصرح بها قانونا. ويكون للشخص المعني بالبيانات الحقوق الآتية: 1. العلم بالبيانات الشخصية الخاصة به الموجودة لدى أي حائز أو متحكم أو معالج واالطالع عليها والوصول إليها أو الحصول عليها. 2. العدول عن الموافقة المسبقة على االحتفاظ بياناته الشخصية أو معالجتها. 3. التصحيح أو التعديل أو المحو أو الإضافة أو التحديث للبيانات الشخصية. 4. تخصيص المعالجة في نطاق محدد. 5. العلم والمعرفة بأي خرق أو انتهاك لبياناته الشخصية. 6. االعتراض على معالجة البيانات الشخصية أو نتائجها متى تعارضت مع الحقوق والحريات الأساسية للشخص المعني بالبيانات. وباستثناء البند )5( من الفقرة السابقة، يؤدي الشخص المعني بالبيانات مقابل تكلفة الخدمة المقدمة إليه من المتحكم أو المعالج فيما يخص ممارسته لحقوقه، ويتولى المركز إصدار قرارات تحديد هذا المقابل بما لا يجاوز عشرين ألف جنيه."
"قانون حماية البيانات الشخصي - الفصل الثاني - مادة 3","يجب لجمع البيانات الشخصية ومعالجتها واالحتفاظ بها، توافر الشروط الآتية: 1. أن تجمع البيانات الشخصية لأغراض مشروعة ومحددة ومعلنة للشخص المعني. 2. أن تكون صحيحة وسليمة ومؤمنة. 3. أن تعالج بطريقة مشروعة ومالئمة للأغراض التي تم تجميعها من أجلها. 4. وألا يتم االحتفاظ بها لمدة أطول من المدة الالزمة للوفاء بالغرض المحدد لها. وتحدد الالئحة التنفيذية السياسات والإجراءات، والضوابط، والمعايير القياسية للجمع و المعالجة والحفظ والتأمين لهذه البيانات."
