"source","text"
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - أحكام عامة - مادة 1","تسري أحكام هذا القانون على الأحكام التجارية، وعلى كل شخص طبيعي أو اعتباري تثبت له صفة التاجر."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - أحكام عامة - مادة 2","1- تسري على المواد التجارية أحكام الاتفاق بين المتعاقدين، فإذا لم يوجد هذا الاتفاق، سرت نصوص هذا القانون أو غيره من القوانين المتعلقة بالمواد التجارية، ثم قواعد العرف التجاري والعادات التجارية، فإذا لم يوجد عرف تجاري أو عادة تجارية وجب تطبيق أحكام القانون المدني. 2- لا يجوز تطبيق الاتفاقات بين المتعاقدين أو قواعد العرف التجاري أو العادات التجارية متى تعارضت مع النظام العام في مصر."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - أحكام عامة - مادة 3","إذا كان العقد تجاريا بالنسبة لأحد طرفيه فلا تسري أحكام القانون التجاري إلا على التزامات هذا الطرف وحده، وتسري على التزامات الطرف الآخر أحكام القانون المدني ما لم ينص القانون على غير ذلك."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 4","يعد عمل تجاريا: أ- شراء المنقولات أيا كان نوعها بقصد بيعها أو تأجيرها بذاتها أو بعد تهيئتها في صورة أخرى، وكذلك بيع أو تأجير هذه المنقولات. ب- استئجار المنقولات بقصد تأجيرها وكذلك تأجير هذه المنقولات. ج- تأسيس الشركات التجارية."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 5","تعد الأعمال الآتية تجارية إذا كانت مزاولتها على وجه الاحتراف: أ- توريد البضائع والخدمات. ب- الصناعة. ج- النقل البري والنقل في المياه الداخلية. د- الوكالة التجارية والسمسرة أيا كانت طبيعة العمليات التي يمارسها السمسار. هـ- التأمين على اختلاف أنواعه. و- عمليات البنوك والصرافة. ز- إيداع البضائع ووسائط النقل والمحاصيل وغيرها. ح- أعمال الدور والمكاتب التي تعمل في مجالات النشر والطباعة والتصوير والكتابة على الآلات الكاتبة وغيرها والترجمة والإذاعة والتليفزيون والصحافة ونقل الأخبار والبريد والاتصالات والإعلان. ط- الاستغلال التجاري لبرامج الحاسب الآلي والبث الفضائي عبر الأقمار الصناعية. ي- العمليات الاستخراجية لمواد الثروات الطبيعية كالمناجم والمحاجر ومنابع النفط والغاز وغيرها. ك- مشروعات تربية الدواجن والمواشي وغيرها بقصد بيعها. ل- مقاولات تشييد العقارات أو ترميمها أو تعديلها أو هدمها أو طلائها ومقاولات الأشغال العامة. م- تشييد العقارات أو شرائها أو استئجارها بقصد بيعها أو تأجيرها كاملة أو مجزئة إلى شقق أو غرف أو وحدات إدارية أو تجارية سواء كانت مفروشة أو غير مفروشة. ن- أعمال مكاتب السياحة ومكاتب التصدير والاستيراد والإفراج الجمركي ومكاتب الاستخدام ومحال البيع بالمزاد العلني. س- أعمال الفنادق والمطاعم والمقاهي والتمثيل والسينما والسيرك وغير ذلك من الملاهي العامة. ع- توزيع المياه أو الغاز أو الكهرباء وغيرها من مصادر الطاقة."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 6","يعد أيضا عملا تجاريا كل عمل يتعلق بالملاحة التجارية بحرية كانت أو جوية وعلى وجه الخصوص ما يأتي: أ- بناء السفن أو الطائرات وإصلاحها وصيانتها. ب- شراء أو بيع أو تأجير أو استئجار السفن أو الطائرات. ج- شراء أدوات أو مواد تموين السفن أو الطائرات. د- النقل البحري والنقل الجوي. هـ- عمليات الشحن أو التفريغ. و- استخدام الملاحين أو الطيارين أو غيرهم من العاملين في السفن أو الطائرات."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 7","يكون عملا تجاريا كل عمل يمكن قياسه على الأعمال المذكورة في المواد السابقة لتشابه في الصفات والغايات."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 8","1- الأعمال التي يقوم بها التاجر لشئون تتعلق بتجارته تعد أعمالا تجارية. 2- كل عمل يقوم به التاجر يعد متعلقا بتجارته ما لم يثبت غير ذلك."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الأول - مادة 9","لا يعد عملا تجاريا بيع الزارع منتجات الأرض التي يزرعها سواء كان مالكا لها أو مجرد منتفع بها."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الثاني - مادة 10","يكون تاجرا: 1- كل من يزاول على وجه الاحتراف باسمه ولحسابه عملا تجاريا. 2- كل شركة تتخذ أحد الأشكال المنصوص عليها في القوانين المتعلقة بالشركات أيا كان الغرض الذي أنشئت الشركة من أجله."
"قانون التجارة المصري - رقم 17 لسنة 1999 - الباب الأول - الفصل الثاني - مادة 11","1- يكون أهلا لمزاولة التجارة مصريا كان أو أجنبيا: أ- من بلغت سنه إحدى وعشرين سنة كاملة ولو كان قانون الدولة التي ينتمي إليها بجنسيته يعتبره قاصرا في هذه السن. ب- من أكمل الثامنة عشرة بالشروط المقررة في قانون الدولة التي ينتمي إليها بجنسيته وذلك بعد الحصول على إذن من المحكمة المصرية المختصة. 2- لا يجوز لمن تقل سنه عن ثماني عشرة سنة أن يزاول التجارة في مصر ولو كان قانون الدولة التي ينتمي إليها بجنسيته يعتبره راشدا في هذه السن أو يجيز له الاتجار. 3- تكون للقاصر المأذون له في الاتجار الأهلية الكاملة للقيام بجميع التصرفات التي تقتضيها التجارة."
