"source","text"
"الدستور المصري - مادة ١","جمهورية مصر العربية دولة ذات سيادة، موحدة لا تقبل التجزئة، ولا ينزل عن شئ منها، نظامها جمهورى ديمقراطي."
"الدستور المصري - مادة ٢","الإسلام دين الدولة، واللغة العربية لغتها الرسمية، ومبادئ الشريعة الإسلامية المصدر الرئيسى للتشريع."
"الدستور المصري - مادة ٣","مبادئ شرائع المصريين من المسيحيين واليهود المصدر الرئيسى للتشريعات المنظمة لأحوالهم الشخصية، وشئونهم الدينية، واختيار قياداتهم الروحية."
"الدستور المصري - مادة ٤","السيادة للشعب وحده، يمارسها ويحميها، وهو مصدر السلطات، ويصون وحدته الوطنية التى تقوم على مبادئ المساواة والعدل وتكافؤ الفرص بين جميع المواطنين."
"الدستور المصري - مادة ٥","يقوم النظام السياسي على أساس التعددية السياسية والحزبية، والتداول السلمى للسلطة، والفصل بين السلطات والتوازن بينها، وتلازم المسئولية مع السلطة، واحترام حقوق الإنسان وحرياته، على الوجه المبين فى الدستور."
"الدستور المصري - مادة ٦","الجنسية حق لمن يولد لأب مصرى أو لأم مصرية، والاعتراف القانوني به ومنحه أوراقاً رسمية تثبت بياناته الشخصية، حق يكفله القانون وينظمه. يحدد القانون شروط اكتساب الجنسية."
"الدستور المصري - مادة ٧","الأزهر الشريف هيئة إسلامية علمية مستقلة، يختص دون غيره بالقيام على كافة شئونه، وهو المرجع الأساسى فى العلوم الدينية والشئون الإسلامية، ويتولى مسئولية الدعوة ونشر علوم الدين واللغة العربية فى مصر والعالم. وتلتزم الدولة بتوفير الاعتمادات المالية الكافية لتحقيق أغراضه. وشيخ الأزهر مستقل غير قابل للعزل، وينظم القانون طريقة اختياره من بين أعضاء هيئة كبار العلماء."
"الدستور المصري - مادة ٨","يقوم المجتمع على التضامن الاجتماعى. وتلتزم الدولة بتحقيق العدالة الاجتماعية وتوفير سبل التكافل الاجتماعى، بما يضمن الحياة الكريمة لجميع المواطنين، على النحو الذى ينظمه القانون."
"الدستور المصري - مادة ٩","تلتزم الدولة بتحقيق تكافؤ الفرص بين جميع المواطنين، دون تمييز."
"الدستور المصري - مادة ١٠","الأسرة أساس المجتمع، قوامها الدين والأخلاق والوطنية، وتحرص الدولة على تماسكها واستقرارها وترسيخ قيمها."
