"source","text"
"قانون الميراث - الباب الأول - أحكام عامة - مادة 1","يُستحق الإرث بموت المورث أو باعتباره ميتا بحكم القاضي."
"قانون الميراث - الباب الأول - أحكام عامة - مادة 2","يجب لاستحقاق الإرث تحقق حياة الوارث وقت موت المورث أو وقت الحكم باعتباره ميتا."
"قانون الميراث - الباب الأول - أحكام عامة - مادة 3","إذا مات اثنان ولم يُعلم أيهما مات أولا فلا استحقاق لأحدهما في تركة الآخر سواء أكان موتهما في حادث واحد أم لا."
"قانون الميراث - الباب الأول - أحكام عامة - مادة 4","يؤدى من التركة بحسب الترتيب الآتي: أولا: ما يكفي لتجهيز الميت ومن تلزمه نفقته من الموت إلى الدفن. ثانيا: ديون الميت. ثالثا: ما أوصى به في الحد الذي تنفذ فيه الوصية. ويوزع ما بقي بعد ذلك على الورثة, فإذا لم توجد ورثة قضي من التركة بالترتيب الآتي: أولا: استحقاق من أقر له الميت بنسب على غيره. ثانيا: ما أوصى به فيما زاد على الحد الذي تنفذ فيه الوصية. فإذا لم يوجد أحد من هؤلاء آلت التركة أو ما بقي منها إلى الخزانة العامة."
"قانون الميراث - الباب الأول - أحكام عامة - مادة 5","من موانع الإرث قتل المورث عمدا سواء أكان القاتل فاعلا أصليا أم شريكا أم كان شاهد زور أدت شهادته إلى الحكم بالإعدام وتنفيذه إذا كان القتل بلا حق ولا عذر وكان القاتل عاقلا بالغا من العمر خمس عشرة سنة. ويعد من الأعذار تجاوز حق الدفاع الشرعي."
"قانون الميراث - الباب الأول - أحكام عامة - مادة 6","لا توارث بين مسلم وغير مسلم. ويتوارث غير المسلمين بعضهم من بعض. واختلاف الدارين لا يمنع من الإرث بين المسلمين. ولا يمنع بين غير المسلمين إلا إذا كانت شريعة الدار الأجنبية تمنع من توريث الأجنبي منها."
"قانون الميراث - الباب الثاني - أسباب الإرث وأنواعه - مادة 7","أسباب الإرث الزوجية والقرابة والعصوبة السببية. ويكون الإرث بالقرابة بطريق الفرض أو التعصيب أو بهما معا أو بالرحم مع مراعاة قواعد الحجب والرد. فإذا كان لوارث جهتا إرث ورث بهما معا مع مراعاة أحكام المادتين 40 , 72."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 8","الفرض سهم مقدر للوارث في التركة. ويبدأ في التوريث بأصحاب الفروض وهم: الأب, الجد الصحيح وإن علا, الأخ لأم, الأخت لأم, الزوج, الزوجة, البنات, بنات الابن وإن نزل, الأخوات لأب وأم, الأخوات لأب, الأم, الجدة الصحيحة وإن علت."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 9","مع مراعاة حكم المادة 47 للأب فرض السدس إذا وجد للميت ولد أو ولد ابن وإن نزل. والجد الصحيح هو الذي لا تدخل في نسبته إلى الميت أنثى. وله فرض السدس على الوجه المبين في الفقرة السابقة."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 10","لأولاد الأم فرض السدس للواحد والثلث للاثنين فأكثر ذكورهم وإناثهم في القسمة سواء. وفي الحالة الثانية إذا استغرقت الفروض التركة يشارك أولاد الأم الأخ الشقيق والإخوة الأشقاء بالانفراد أو مع أخت شقيقة أو أكثر ويقسم الثلث بينهم على الوجه المتقدم."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 11","للزوج فرض النصف عند عدم الولد وولد الابن وإن نزل, والربع مع الولد أو ولد الابن وإن نزل. للزوجة - ولو كانت مطلقة رجعيا - إذا مات الزوج وهي في العدة أو الزوجات: فرض الربع: عند عدم الولد وولد الابن وإن نزل. والثمن: مع الولد أو ولد الابن وإن نزل. وتعتبر المطلقة بائنا في مرض الموت في حكم الزوجة إذا لم ترض بالطلاق ومات المطلق في ذلك المرض وهي في عدته."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 12","مع مراعاة حكم المادة 9: (أ) للواحدة من البنات فرض النصف وللاثنتين فأكثر الثلثان. (ب) ولبنات الابن الفرض المتقدم ذكره عند عدم وجود بنت أو بنت ابن أعلى منهن درجة, ولهن واحدة أو أكثر - السدس مع البنت وبنت الابن الأعلى درجة."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 13","مع مراعاة حكم المادتين 49 , 72: (أ) للواحدة من الأخوات الشقيقات فرض النصف وللاثنتين فأكثر الثلثان. (ب) وللأخوات لأب الفرض المتقدم ذكره عند عدم وجود أخت شقيقة, ولهن - واحدة أو أكثر - السدس مع الأخت الشقيقة."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 14","للأم فرض السدس مع الولد أو ولد الابن وإن نزل أو مع اثنين أو أكثر من الإخوة والأخوات. ولها الثلث في غير هذه الأحوال. غير أنها إذا اجتمعت مع أحد الزوجين والأب فقط كان لها ثلث ما تبقى بعد فرض الزوج. والجدة الصحيحة هي أم أحد الأبوين أو الجد الصحيح وإن علت. للجدة أو الجدات السدس ويقسم بينهن على السواء لا فرق بين ذات قرابة وقرابتين."
"قانون الميراث - الباب الثاني - الفصل الأول - الإرث بالفرض - مادة 15","إذا زادت أنصباء أصحاب الفروض على التركة قسمت بينهم بنسبة أنصبائهم في الإرث."
"قانون الميراث - الباب الثاني - الفصل الثاني - الإرث بالتعصيب - مادة 16","إذا لم يوجد أحد من ذوي الفروض أو وجد ولم تستغرق الفروض التركة كانت التركة أو ما بقي منها بعد الفروض للعصبة من النسب. والعصبة من النسب ثلاثة أنواع: (1) عصبة بالنفس. (2) عصبة بالغير. (3) عصبة مع الغير."
"قانون الميراث - الباب الثاني - الفصل الثاني - الإرث بالتعصيب - مادة 17","للعصبة بالنفس جهات أربع مقدم بعضها على بعض في الإرث على الترتيب الآتي: (1) البنوة: وتشمل الأبناء وأبناء الابن وإن نزل. (2) الأبوة: وتشمل الأب والجد الصحيح وإن علا. (3) الأخوة: وتشمل الإخوة لأبوين والإخوة لأب وأبناء الأخ لأبوين وأبناء الأخ لأب وإن نزل كل منهما. (4) العمومة: وتشمل أعمام الميت وأعمام أبيه وأعمام جده الصحيح وإن علا سواء أكانوا لأبوين أم لأب وأبناء من ذكروا وأبناء أبنائهم وإن نزلوا."
"قانون الميراث - الباب الثاني - الفصل الثاني - الإرث بالتعصيب - مادة 18","إذا اتحدت العصبة بالنفس في الجهة كان المستحق للإرث أقربهم درجة إلى الميت. فإذا اتحدوا في الجهة والدرجة كان التقديم بالقوة فمن كان ذا قرابتين للميت قدم على من كان ذا قرابة واحدة. فإذا اتحدوا في الجهة والدرجة والقوة كان الإرث بينهم على السواء."
