"source","text"
"قانون مجلس الدولة رقم 47 لسنة 1972 - مادة 1","مجلس الدولة هيئة قضائية مستقلة"
"قانون مجلس الدولة رقم 47 لسنة 1972 - مادة 2","يتكون مجلس الدولة من : أ – القسم القضائي ب – قسم الفتوى ج – قسم التشريع ويشكل المجلس من رئيس ومن عدد كاف من نواب الرئيس والوكلاء والمستشارين ومن المستشارين المساعدين والنواب والمندوبين . ويلحق بالمجلس مندوبون مساعدون تسرى عليهم الأحكام الخاصة بالمندوبين عدا شرط الحصول على دبلومتين من دبلومات الدراسات العليا ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 3","يؤلف القسم القضائي من : أ – المحكمة الإدارية العليا ب – محكمة القضاء الإداري ج – المحاكم الإدارية د – المحاكم التأديبية هـ – هيئة مفوضي الدولة"
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 4","يكون مقر المحكمة الإدارية العليا في القاهرة ويرأسها رئيس المجلس وتصدر أحكامها من دوائر من خمسة مستشارين وتكون بها دائرة أو أكثر لفحص الطعون وتشكل من ثلاثة مستشارين . ويكون مقر محكمة القضاء الإداري مدينة القاهرة ويرأسها نائب رئيس المجلس لهذه المحكمة وتصدر أحكامها من دوائر تشكل كل منها من ثلاثة مستشارين ، ويحدد اختصاص كل دائرة من دوائر محكمة القضاء الإدارى بقرار من رئيس مجلس الدولة . ويجوز بقرار من رئيس مجلس الدولة إنشاء دوائر للقضاء الإدارى في المحافظات الأخرى وإذا شمل اختصاص الدائرة أكثر من محافظة جاز لها – بقرار من رئيس المجلس – أن تعقد جلساتها في عاصمة أي من المحافظات الداخلة في دائرة اختصاصها ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 5","يكون مقر المحاكم الإدارية في القاهرة والإسكندرية ، ويكون لهذه المحاكم نائب رئيس يعاون رئيس المجلس في القيام على تنظيمها وحسن سير العمل بها . ويجوز إنشاء محاكم إدارية في المحافظات الأخرى بقرار من رئيس المجلس ، وتصدر أحكامها من دوائر تشكل كل منها برئاسة مستشار مساعد وعضوية اثنين من النواب على الأقل ، وتحدد دائرة اختصاص كل محكمة بقرار من رئيس مجلس الدولة وإذا شمل اختصاص المحكمة أكثر من محافظة جاز لها أن تنعقد في عاصمة أي محافظة من المحافظات الداخلة في اختصاصها وذلك بقرار من رئيس مجلس الدولة ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 6","تؤلف هيئة مفوضي الدولة من أحد نواب رئيس المجلس رئيسا ومن عدد كاف من المستشارين والمستشارين المساعدين والنواب والمندوبين . ويكون مفوضو الدولة لدى المحكمة الإدارية العليا ومحكمة القضاء الإدارى من درجة مستشار مساعد على الأقل ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 7","تتكون المحاكم التأديبية من : 1- المحاكم التأديبية للعاملين من مستوى الإدارة العليا ومن يعادلهم 2- المحاكم التأديبية للعاملين من المستويات الأول والثانى والثالث ومن يعادلهم . ويكون لهذه المحاكم نائب لرئيس المجلس يعاون رئيس المجلس فى القيام على شئونها ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 8","يكون مقر المحاكم التأديبية للعاملين من مستوى الإدارة العليا في القاهرة والإسكندرية وتؤلف من دائرة أو أكثر تشكل كل منها من ثلاثة مستشارين ويكون مقار المحاكم التأديبية للعاملين من المستويات الأول والثاني والثالث في القاهرة والإسكندرية وتؤلف من دوائر تشكل كل منها برئاسة مستشار مساعد على الأقل ، وعضوية اثنين من النواب على الأقل ، ويصدر بالتشكيل قرار من رئيس المجلس. ويجوز بقرار من رئيس مجلس الدولة إنشاء محاكم تأديبية في المحافظات الأخرى القرار عددها ومقارها ودوائر اختصاصها بعد أخذ رأى مدير النيابة الإدارية . وإذا شمل اختصاص المحكمة التأديبية أكثر من محافظة جاز لها أن تنعقد في عاصمة أي محافظة من المحافظات الداخلة في اختصاصها ، وذلك بقرار من رئيس مجلس الدولة"
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الأول - الترتيب والتشكيل - مادة 9","يتولى أعضاء النيابة الإدارية الإدعاء أمام المحاكم التأديبية ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - مادة 10","تختص محاكم مجلس الدولة دون غيرها بالفصل فى المسائل الآتية : أولاً : الطعون الخاصة بانتخابات المجالس المحلية . ثانياً : المنازعات الخاصة بالمرتبات والمعاشات والمكافآت المستحقة للموظفين العموميين أو لورثتهم . ثالثاً : الطلبات التي يقدمها ذوو الشأن بالطعن فى القرارات الإدارية النهائية الصادرة بالتعيين فى الوظائف العامة أو الترقية أو بمنح العلاوات رابعاً : الطلبات التى يقدمها الموظفون العموميون بإلغاء القرارات الإدارية الصادرة بإحالتهم إلى المعاش أو الاستيداع أو فصلهم بغير الطريق التأديبى . خامساً : الطلبات التى يقدمها الأفراد أو الهيئات بإلغاء القرارات الإدارية النهائية . سادساً : الطعون فى القرارات النهائية الصادرة من الجهات الإدارية فى منازعات الضرائب والرسوم وفقاً للقانون الذي ينظم كيفية نظر هذه المنازعات أمام مجلس الدولة . سابعاً : دعاوى الجنسية . ثامناً : الطعون التى ترفع عن القرارات النهائية الصادرة من جهات إدارية لها اختصاص قضائى ، فيما عدا القرارات الصادرة من هيئات التوفيق والتحكيم فى منازعات العمل وذلك متى كان مرجع الطعن ، عدم الاختصاص أو عيبا فى الشكل أو مخالفة للقوانين واللوائح أو الخطأ فى تطبيقها أو تأويلها . تاسعاً : الطلبات التى يقدمها الموظفون العموميين بإلغاء القرارات النهائية للسلطات التأديبية . عاشراً : طلبات التعويض عن القرارات المنصوص عليها فى البنود السابقة سواء رفعت بصفة أصلية أو تبعية . حادي عشر : المنازعات الخاصة بعقود الالتزام أو الأشغال العامة أو التوريد أو بأى عقد إداري آخر . ثاني عشر : الدعاوى التأديبية المنصوص عليها فى هذا القانون ثالث عشر : الطعون فى الجزاءات الموقعة على العاملين بالقطاع العام فى الحدود المقررة قانوناً . رابع عشر : سائر المنازعات الإدارية . ويشترط فى طلبات إلغاء القرارات الإدارية النهائية أن يكون مرجع الطعن عدم الاختصاص أو عيبا فى الشكل أو مخالفة القوانين أو اللوائح أو الخطأ فى تطبيقها أو تأويلها أو إساءة استعمال السلطة . ويعتبر فى حكم القرارات الإدارية رفض السلطات الإدارية أو امتناعها عن اتخاذ قرار كان من الواجب عليها اتخاذه وفقا للقوانين واللوائح ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - مادة 11","لا تختص محاكم مجلس الدولة بالنظر فى الطلبات المتعلقة بإعمال السيادة ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - مادة 12","لا تقبل الطلبات الآتية : أ ) الطلبات المقدمة من أشخاص ليست لهم فيها مصلحة شخصية ب) الطلبات المقدمة رأسا بالطعن فى القرارات الإدارية النهائية المنصوص عليها فى البنود ثالثا ورابعا وتاسعا من المادة 10 وذلك فبل التظلم منها إلى الهيئة الإدارية التى أصدرت القرار أو إلى الهيئات الرئاسية وانتظار المواعيد المقررة للبت فى هذا التظلم ، وتبين إجراءات التظلم وطريقة الفصل فيه بقرار من رئيس مجلس الدولة ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - أولا : اختصاص محكمة القضاء الإدارى - مادة 13","تختص محكمة القضاء الإدارى بالفصل فى المسائل المنصوص عليها فى المادة 10 عدا ما تختص به المحاكم الإدارية والمحاكم التأديبية كما تختص بالفصل فى الطعون التى ترفع إليها عن الأحكام الصادرة من المحاكم الإدارية ، ويكون الطعن من ذوى الشأن أو من رئيس هيئة مفوضي الدولة وذلك خلال ستين يوماً من تاريخ صدور الحكم ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثانيا : اختصاص المحاكم الإدارية - مادة 14","تختص المحاكم الإدارية : 1. بالفصل فى طلبات إلغاء القرارات المنصوص عليها فى البنود ثالثا ورابعا من المادة 10 متى كانت متعلقة بالموظفين العموميين من المستوى الثانى والمستوى الثالث ومن يعادلهم ، وفى طلبات التعويض المترتبة على هذه القرارات . 2. بالفصل فى المنازعات الخاصة بالمرتبات والمعاشات والمكافآت والمستحقة لمن ذكروا فى البند السابق أو لورثتهم . 3. بالفصل فى المنازعات الواردة فى البند الحادي عشر من المادة 10 متى كانت قيمة المنازعة لا تجاوز خمسمائة جنيه ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 15","تختص المحاكم التأديبية بنظر الدعاوى التأديبية عن المخالفات المالية والإدارية التى تقع من : أولاً : العاملين المدنيين بالجهاز الإدارى للدولة فى وزارات الحكومة ومصالحها ووحدات الحكم المحلى والعاملين بالهيئة العامة والمؤسسات العامة وما يتبعها من وحدات وبالشركات التى تضمن لها الحكومة حدا أدنى من الأرباح . ثانياً : أعضاء مجالس إدارة التشكيلات النقابية المشكلة طبقا لقانون العمل وأعضاء مجالس الإدارة المنتخبين طبقاً لأحكام القانون رقم 141 لسنة 1983 ، المشار إليه . ثالثاً : العاملين بالجمعيات والهيئات الخاصة التى يصدر بتحديدها قرار من رئيس الجمهورية ممن تجاوز مرتباتهم خمسة عشر جنيهاً شهرياً كما تختص هذه المحاكم بنظر الطعون المنصوص عليها فى البندين تاسعا وثالث عشر من المادة العاشرة"
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 16","يصدر رئيس المحكمة قرارا بالفصل فى طلبات وقف أو مد وقف الأشخاص المشار إليهم فى المادة السابقة عن العمل أو صرف المرتب كله أو بعضه أثناء مدة الوقف وذلك فى الحدود المقررة قانونا ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 17","يتحدد اختصاص المحكمة التأديبية تبعا للمستوى الوظيفى للعامل وقت الدعوى وإذا تعدد العاملون المقدمون للمحكمة المختصة بمحاكمة أعلاهم فى المستوى الوظيفي هى المختصة بمحاكمتهم جميعا . ومع ذلك تختص المحكمة التأديبية للعاملين من المستوى الأول والثانى والثالث بمحاكمة جميع العاملين بالجمعيات والشركات والهيئات الخاصة المنصوص عليها فى المادة ( 15 ) ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 18","تكون محاكمة العاملين المنسوبة إليهم مخالفة واحدة أو مخالفات مرتبطة ببعضها ومجازاتهم أمام المحكمة التى وقعت فى دائرة اختصاصها المخالفة أو المخالفات المذكورة ، فإذا تعذر تعيين المحكمة عينها رئيس مجلس الدولة بقرار منه ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 19","توقع المحاكم التأديبية الجزاءات المنصوص عليها فى القوانين المنظمة لشئون من تجرى محاكمتهم . على أنه بالنسبة إلى العاملين بالجمعيات والهيئات الخاصة التى يصدر بتحديدها قرار من رئيس الجمهورية والعاملين بالشركات التى تضمن لها الحكومة حدا أدنى من الأرباح فتكون الجزاءات : الإنذار الخصم من المرتب لمدة لا تجاوز شهرين . خفض المرتب . تنزيل الوظيفة . العزل من الوظيفة مع حفظ الحق فى المعاش أو المكافأة أو مع الحرمان من المعاش أو المكافأة وذلك فى حدود الربع ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 20","لا تجوز إقامة الدعوى التأديبية على العاملين بعد انتهاء خدمتهم إلا فى الحالتين الآتيتين : إذا كان قد بدئ فى التحقيق أو المحاكمة قبل انتهاء الخدمة . إذا كانت المخالفة من المخالفات المالية التى يترتب عليها ضياع حق من الحقوق المالية للدولة أو أحد الأشخاص الاعتبارية العامة أو الوحدات التابعة لها وذلك لمدة خمس سنوات من تاريخ انتهاء الخدمة ولو لم يكن قد بدئ فى التحقيق قبل ذلك ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 21","الجزاءات التأديبيـة التى يجوز للمحاكم التأديبية توقيعها على من ترك الخدمة هي : 1. غرامة لا تقل عن خمسة جنيهات ولا تجاوز الأجر الإجمالي الذي كان يتقاضاه العامل فى الشهر الذي وقعت فيه المخالفة . 2. الحرمان من المعاش مدة لا تزيد على 3 أشهر . الحرمان من المعاش فيما لا يجاوز الربع . وفى جميع الأحوال يجوز للمحكمة التأديبية فى أى مرحلة من مراحل التحقيق أو الدعوى وقف صرف جزء من المعاش أو المكافأة بما لا يجاوز الربع إلى حين انتهاء المحاكمة . ويستوفى المبلغ المنصوص عليه فى البندين 1 ، 2 بالخصم من المعاش فى حدود الربع شهريا أو من المكافأة أو المال المدخر أن وجد أو بطريق الحجز الإدارى ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - ثالثا : اختصاص المحاكم التأديبية - مادة 22","أحكام المحاكم التأديبية نهائية ويكون الطعن فيها أمام المحكمة الإدارية العليا فى الأحوال المبينة فى هذا القانون . ويعتبر من ذوى الشأن فى الطعن الوزير المختص ورئيس الجهاز المركزى للمحاسبات ومدير النيابة الإدارية . وعلى رئيس هيئة مفوضي الدولة بناء على طلب من العامل المفصول أن يقيم الطعن فى حالات الفصل من الوظيفة ."
"قانون مجلس الدولة رقم 47 لسنة 1972 - الباب الأول - القسم القضائي - الفصل الثاني - الاختصاصات - رابعا : اختصاص المحكمة الإدارية العليا - مادة 23","يجوز الطعن أمام المحكمة الإدارية العليا فى الأحكام الصادرة من محكمة القضاء الإدارى أو من المحاكم التأديبية وذلك فى الأحوال الآتية : 1. إذا كان الحكم المطعون فيه مبنيا على مخالفة القانون أو خطأ فى تطبيقه أو تأويله . 2. إذا وقع بطلان فى الحكم أو بطلان فى الإجراءات أثر فى الحكم 3. إذا صدر الحكم على خلاف حكم سابق حاز قوة الشئ المحكوم فيه سواء دفع بهذا الدفع أو لم يدفع . ويكون لذوى الشأن ولرئيس هيئة مفوضى الدولة أن يطعن فى تلك الأحكام خلال ستين يوماً من تاريخ صدور الحكم وذلك مع مراعاة الأحوال التى يوجب عليه القانون فيها الطعن فى الحكم . أما الأحكام الصادرة من محكمة القضاء الإدارى فى الطعون المقامة أمامها فى أحكام المحاكم الإدارية فلا يجوز الطعن فيها أمام المحكمة الإدارية العليا إلا من رئيس مفوضي الدولة خلال ستين يوما من تاريخ صدور الحكم وذلك إذا صدر الحكم على خلاف ما جرى عليه قضاء المحكمة الإدارية العليا أو إذا كان الفصل فى الطعن يقتضي تقرير مبدأ قانوني لم يسبق لهذه المحكمة تقريره ."
