"source","text"
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الأولى","تسري أحكام القانون المرافق على البنك المركزي والجهاز المصرفي وشركات الصرافة وشركات تحويل الأموال وشركات الاستعلام والتصنيف الائتماني وشركات ضمان الائتمان ومشغلي نظم الدفع ومقدمي خدمات الدفع ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الثانية","تسري على البنوك والشركات المخاطبة بأحكام القانون المرافق ، فيما لم يرد في شأنه نص فيه أو في اللوائح والقرارات الصادرة تنفيذاً له ، أحكام قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة وشركات الشخص الواحد الصادر بالقانون رقم 159 لسنة 1981 ويكون البنك المركزي هو الجهة الإدارية المختصة ، ومحافظ البنك المركزي هو الوزير المختص في تطبيق أحكام قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة وشركات الشخص الواحد المشار إليه بالنسبة للجهات الخاضعة لإشرافه طبقاً لأحكام القانون المرافق . كما تسري أحكام قانون التجارة الصادر بالقانون رقم 17 لسنة 1999 على معاملات البنوك مع عملائها تجاراً كانوا أو غير تجار أياً كانت طبيعة هذه المعاملات ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الثالثة","تستبدل عبارة البنوك المملوكة أسهمها بالكامل للدولة بعبارة بنوك القطاع العام أينما وردت في القوانين والقرارات المعمول بها ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الرابعة","يلتزم المخاطبون بأحكام القانون المرافق بتوفيق أوضاعهم طبقاً لأحكامه وذلك خلال مدة لا تتجاوز سنة من تاريخ العمل به ، ولمجلس إدارة البنك المركزي مد هذه المدة لمدة او لمدد أخرى لا تجاوز سنتين ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الخامسة","يصدر مجلس إدارة البنك المركزي اللوائح والقرارات المنفذة لأحكام القانون المرافق، وتنشر في الوقائع المصرية ، وإلى أن تصدر هذه اللوائح والقرارات يستمر العمل باللوائح والقرارات القائمة بما لا يتعارض مع أحكامه ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة السادسة","يستمر مجلس إدارة البنك المركزي بتشكيله الحالي في مباشرة مهامه واختصاصاته إلى حين انتهاء مدته ، كما تستمر مجالس إدارة البنوك بتشكيلاتها المالية في مباشرة مهامها واختصاصاتها إلى حين انتهاء مدة كل منها ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة السابعة","يلغى قانون البنك المركزي والجهاز المصرفي والنقد الصادر بالقانون رقم 88 لسنة 2003 وتلغى المادة (10) من القانون رقم 11 لسنة 1940 بشأن بيع المحال التجارية ورهنها، والمادة (1) من القانون رقم 19 لسنة 1975 بتقرير بعض الحقوق والمزايا للبنك الصناعي. كما تلغي المادة (94) من قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحدودة وشركات الشخص الواحد الصادر بالقانون رقم 159 لسنة 1981، والمادة (21) من قانون إنشاء البنك المصرى لتنمية الصادرات الصادر بالقانون رقم 95 لسنة 1983. ومع مراعاة أحكام الاتفاقيات الدولية الخاصة بإنشاء بعض البنوك في جمهورية مصر العربية، يلغي كل حكم يخالف أحكام هذا القانون والقانون المرافق ، بما في ذلك الأحكام الواردة بالقوانين الخاصة بإنشاء بعض البنوك فيما يتعلق بالحد الأدنى لرأس المال ، واختصاصات البنك المركزي الرقابية والإشرافية والتدخل المبكر وتسوية أوضاع البنوك المتعثرة ، وسرية الحسابات وقواعد التعامل في النقد الأجنبي ."
"قانون إصدار البنك المركزي والجهاز المصرفي - المادة الثامنة","ينشر هذا القانون في الجريدة الرسمية ، ويعمل به من اليوم التالي لتاريخ نشره . يبصم هذا القانون بخاتم الدولة ، وينفذ كقانون من قوانينها . صدر برئاسة الجمهورية فى 27 المحرم سنة 1442 هـ (الموافق 15 سبتمبر سنة 2020م) ."
"قانون البنك المركزي والجهاز المصرفي - الباب الأول - التعريفات - مادة (1)","يقصد في تطبيق أحكام هذا القانون بالكلمات والعبارات التالية المعنى المبين قرين كل منها: البنك المركزي: البنك المركزى المصري . مجلس الإدارة: مجلس إدارة البنك المركزي . المحافظ: محافظ البنك المركزي . الجهات المرخص لها: البنوك ، وشركات الصرافة ، وشركات الاستعلام والتصنيف الائتماني ، وشركات تحويل الأموال ، وشركات ضمان الائتمان ، ومشغلو نظم الدفع، ومقدمو خدمات الدفع . عمليات السوق المفتوحة: العمليات التي يجريها البنك المركزى لضخ أو سحب السيولة لدى الجهاز المصرفي مثل ربط ودائع أو إصدار شهادات إيداع أو غيرها من الأدوات الأخرى، وكذا التعامل بالشراء أو بالبيع أو بالبيع مع إعادة الشراء على الأوراق والأدوات المالية التي يصدرها البنك المركزي، والأوراق والأدوات المالية الحكومية المصرية، والأوراق المضمونة من الحكومة، وغيرها من السندات التي يعينها مجلس الإدارة. البنوك: الشركات وفروع البنوك الأجنبية المرخص لها بمزاولة أعمال البنوك طبقاً لأحكام هذا القانون . البنوك المتخصصة: البنوك المرخص لها بمزاولة بعض أعمال البنوك طبقاً لأحكام هنا القانون. البنوك الرقمية: بنوك تقدم الخدمات المصرفية عبر القنوات أو المنصات الرقمية باستخدام التقنيات التكنولوجية الحديثة . الجهات الأجنبية المناظرة: الجهات الأجنبية التي تمارس اختصاصات مماثلة لكل اختصاصات البنك المركزى المنصوص عليها في هذا القانون أو بعضها ، سواءً كانت بنوكاً مركزية أو غيرها من الجهات . الشركات التابعة: الشركات التي تلك البنك بطريق مباشر أو غير مباشر القدرة على التحكم في سياستها المالية والتشغيلية ، أو يكون للبنك حصة ملكية تزيد على (50%) من أسهمها أو من حقوق التصويت. الشركات الشقيقة: الشركات التي يمتلك البنك بطريق مباشر أو غير مباشر تأثيراً قوياً عليها لا يصل إلى حد السيطرة ، أو يكون للبنك حصة ملكية من (20%) إلى (50%) من أسهمها أو من حقوق التصويت . الشركة الام:الشركة التي يكون أي من البنوك بمثابة شركة تابعة أو شقيقة لها . الرقابة المشتركة: التعاون بين السلطة المختصة بدولة المقر الرئيسي ونظيرتها بالدولة المضيفة في مجال الرقابة والإشراف والتدخل المبكر وتسوية الأوضاع والتصفية بالنسبة للبنوك ونظم وخدمات الدفع. الرقابة المجمعة: الرقابة على البنك وشركاته وكياناته التابعة والشقيقة . اعمال البنوك: كل نشاط يتناول بشكل أساسي واعتيادي قبول الودائع والحصول على التمويل واستثمار هذه الأموال في تقديم التمويل والتسهيلات الائتمانية أو المساهمة في رؤوس أموال الشركات ، وكل ما يجري العرف المصرفي على اعتباره من أعمال البنوك . العقود المالية: العقود التي يكون أحد البنوك طرفاً فيها بهدف الحصول على تمويل أو قروض لأجل من أي نوع ، أو العقود المنظمة للمشتقات المالية المتعلقة بالسلع أو الأوراق أو الأدوات المالية وغيرها بما في ذلك عقود البيع مع إعادة الشراء والخيارات والمبادلة والعقود المستقبلية والعقود الآجلة . العميل: كل شخص طبيعي أو اعتباري يتلقي خدمة من إحدى الجهات المرخص لها طبقاً لأحكام هذا القانون . المسئولون الرئيسيون: رؤساء وأعضاء مجالس إدارة البنوك والمديرين التنفيذيون المسئولون عن الأنشطة الرئيسية والرقابية التي يصدر بتحديدها وتحديد اختصاصاتها قرار من مجلس الإدارة . شروط الجدارة والصلاحية: المعايير التي يضعها البنك المركزي للموافقة على تعيين المسئولين الرئيسيين. المساهم الرئيسي: المساهم المالك لنسبة تزيد على (10%) من رأس المال المصدر للبنك أو من حقوق التصويت ، سواء بمفرده أو من خلال أطرافه المرتبطة . البنك المعبري:بنك ينشأ لفترة مؤقتة لتسوية أوضاع أي من البنوك المتعثرة طبقاً لأحكام هذا القانون . جهات منح الائتمان:الجهات أو الشركات بخلاف البنوك التي تقوم بمنح ائتمان مثل شركات التمويل العقاري والتأجير التمويلي وجمعيات التمويل . السيطرة الفعلية:قدرة الشخص وأطرافه المرتبطة على تعيين غالبية أعضاء مجلس إدارة شركة ، أو التحكم على أي نحو في القرارات التي يصدرها مجلس إدارتها ، أو التحكم في القرارات التي تصدر عن جمعيتها العامة . الأطراف المرتبطة:الأشخاص الذين يجمع بينهم اتفاق بغرض الاستحواذ أو السيطرة الفعلية على إحدى الشركات ، والأشخاص الطبيعيون وأقاربهم حتى الدرجة الثانية ، وكذا الأشخاص الاعتباريون الخاضعون للسيطرة الفعلية لذات الأشخاص ، وكذلك مجموع الأشخاص الاعتباريين الخاضعين للسيطرة الفعلية لذات الأشخاص الذين يكون بينهم اتفاق على ممارسة حقوقهم في الجمعية العامة أو مجلس إدارة الشركة بما يؤدي إلى السيطرة الفعلية على أي منهما . خدمات التعهيد:الخدمات التي تسندها الجهات المرخص لها لطرف ثالث للقيام بأي مهام أو أنشطة نيابة عنها . المدير المؤقت:الشخص المعين بمعرفة البنك المركزي لإدارة أي من البنوك أو مشغلی نظم الدفع أو مقدمي خدمات الدفع طبقاً لأحكام هذا القانون . المفوض:الشخص المعين بمعرفة البنك المركزي لإدارة البنك المتعثر وتسوية أوضاعه طبقاً لأحكام هذا القانون . المصادقة الإلكترونية:مجموعة من الوسائل التكنولوجية المستخدمة للتحقق من مصدر رسالة ما والتحقق من هوية أحد المشتركين عند اتصاله بالنظام والتأكد من أن رسالة التحقق من الهوية لم يتم تعديلها أو استبدالها أثناء انتقالها ، وتقوم مقام توقيع العميل . أمر الدفع:تعليمات يصدرها الدافع أو المستفيد بناءً على تفويض من الدافع إلى مقدم خدمات الدفع لتنفيذ عملية إيداع أموال ، أو تحويلها أو سحبها سواء في صورة ورقية أو إلكترونية . تفويض الخصم المباشر:اتفاق يقوم بموجبه الدافع بمنح الحق للمستفيد في إصدار تعليمات إلى مقدم خدمات الدفع لتنفيذ أمر خصم مباشر أو أكثر على حساب الدافع لصالح المستفيد طبقاً للقيم وتواريخ الاستحقاق المبينة به . أمر الخصم المباشر:أمر دفع يصدر للخصم من حساب الدافع لمصلحة المستفيد بناءً على طلبه طبقاً للتعليمات الواردة بتفويض الخصم المباشر . أمر التحويل:تعليمات يصدرها المشارك إلى نظام الدفع طبقاً لقواعد هذا النظام بغرض تحويل الأموال من حسابه إلى حساب مشارك آخر من خلال نظام الدفع . نظام الدفع:مجموعة من الوسائل والإجراءات لسداد أو مقاصة أو تسوية الأموال عن طريق تحويل الأموال بين طرفين أو أكثر من خلال نظام إلكتروني . المشارك:أي طرف يكون مسموحاً له بسداد الأموال أو تلقيها أو المقاصة بينها أو تسويتها من خلال نظام الدفع سواء كان ذلك بصورة مباشرة أو غير مباشرة . خدمات الدفع:جميع الخدمات المرتبطة بمعلومات الحساب أو بإصدار أو إرسال أوامر وعمليات الدفع أو استقبالها أو تنفيذها سواء بالعملة المحلية أو بالعملات الأجنبية ، وتشمل إصدار وإدارة أدوات الدفع والنقود الإلكترونية . أداة دفع:وسيلة يعطى المستخدم من خلالها تعليماته لمقدم خدمات الدفع لتنفيذ أمر الدفع . التكنولوجيا المالية:نماذج أعمال أو تطبيقات أو منتجات مالية قائمة على استخدام التكنولوجيا. التكنولوجيا الرقابية:استخدام التطبيقات التكنولوجية للتأكد من الالتزام بالقوانين والقواعد المقررة. النقود الإلكترونية:قيمة نقدية مقومة بالجنيه المصري أو بإحدى العملات المصدرة من سلطات إصدار النقد الرسمية مستحقة على المرخص له بإصدارها ، وتكون مخزنة إلكترونياً ومقبولة كوسيلة دفع . العملات المشفرة:عملات مخزنة إلكترونياً غير مقومة بأى من العملات الصادرة عن سلطات إصدار النقد الرسمية ، ويتم تداولها عبر شبكة الإنترنت. شركات تحويل الأموال:الشركات المرخص لها طبقاً لأحكام هذا القانون بمزاولة نشاط تحويل الأموال من جمهورية مصر العربية وإليها . الشمول المالي:إتاحة مختلف الخدمات المالية للاستخدام من قبل جميع فئات المجتمع من خلال القنوات الرسمية بجودة وتكلفة مناسبة مع حماية حقوق المستفيدين من تلك الخدمات بما يمكنهم من إدارة أموالهم بشكل سليم ."
"قانون البنك المركزي والجهاز المصرفي - الباب الثاني - البنك المركزى المصري - الفصل الأول - أحكام عامة - مادة (2)","البنك المركزى جهاز رقابي مستقل ، له شخصية اعتبارية عامة ، يتبع رئيس الجمهورية ، ويتمتع بالاستقلال الفني والمالي والإداري ، ويؤخذ رأيه في مشروعات القوانين واللوائح المتعلقة بمجال عمله ."
