source,text
source,text
"""قانون الإجراءات الجنائية - مواد الإصدار - المادة الأولى""",يلغى قانون تحقيق الجنايات المعمول به أمام المحاكم الوطنية، وقانون تحقيق الجنايات المعمول به أمام المحاكم المختلطة كما تلغى القوانين الآتية: 1 – القانون رقم 4 لسنة 1905 بتشكيل محاكم الجنايات. 2 – المرسوم بالقانون الصادر في 9 فبراير سنة 1926 بجعل بعض الجنايات جنحا إذا اقترنت بأعذار قانونية أو ظروف مخففة. 3 – المرسوم بقانون رقم 41 لسنة 1931 بشأن إعادة الاعتبار. 4 – القانون رقم 19 لسنة 1941 الخاص بالأوامر الجنائية. ويستعاض عن هذه القوانين جميعًا بقانون الإجراءات المرافق وكذلك يلغى كل حكم مخالف لأحكام القانون سابق الذكر. ويستمر ضباط البوليس المنتدبون للقيام بوظيفة النيابة العامة لدى محاكم المرور في عملهم، ويجوز لوزير العدل بناء على طلب النائب العام أن يندب أحد رجال البوليس لأداء وظيفة النيابة العامة لدى هذه المحاكم. وتظل القواعد والإجراءات المعمول بها حتى 15 نوفمبر سنة 1951 سارية على الأوامر الجنائية الصادرة في مواد المخالفات قبل هذا التاريخ.
"""قانون الإجراءات الجنائية - مواد الإصدار - المادة الثانية""",على وزير العدل تنفيذ هذا القانون، ويعمل به بعد ثلاثين يوما من تاريخ نشره في الجريدة الرسمية. صدر في 30 ذي القعدة سنة 1369 (3 سبتمبر سنة 1950).
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 1""",تختص النيابة العامة دون غيرها برفع الدعوى الجنائية ومباشرتها ولا ترفع من غيرها إلا في الأحوال المبينة في القانون. ولا يجوز ترك الدعوى الجنائية أو وقفها أو تعطيل سيرها إلا في الأحوال المبينة في القانون.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 2""",يقوم النائب العام بنفسه أو بواسطة أحد أعضاء النيابة العامة بمباشرة الدعوى الجنائية كما هو مقرر بالقانون. ويجوز أن يقوم بأداء وظيفة النيابة العامة من يعين لذلك من غير هؤلاء بمقتضى القانون.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 3""",لا يجوز أن ترفع الدعوى الجنائية إلا بناء على شكوى شفهية أو كتابية من المجني عليه أو من وكيله الخاص، إلى النيابة العامة أو إلى أحد مأموري الضبط القضائي في الجرائم المنصوص عليها في المواد 185، 274، 277، 279، 292، 293، 303، 306، 307، 308 من قانون العقوبات، وكذلك في الأحوال التي ينص عليها القانون. ولا تقبل الشكوى بعد ثلاثة أشهر من يوم علم المجني عليه بالجريمة وبمرتكبها ما لم ينص القانون على خلاف ذلك.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 4""",إذا تعدد المجني عليهم يكفي أن تقدم شكوى من أحدهم وإذا تعدد المتهمون وكانت الشكوى مقدمة ضد أحدهم، تعتبر أنها مقدمة ضد الباقين.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 5""",إذا كان المجني عليه في الجريمة لم يبلغ خمس عشرة سنة كاملة أو كان مصابا بعاهة في عقله، تقدم الشكوى ممن له الولاية عليه. وإذا كانت الجريمة واقعة على المال تقبل الشكوى من الوصى أو القيم وتتبع في هاتين الحالتين جميع الأحكام المتقدمة الخاصة بالشكوى.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 6""",إذا تعارضت مصلحة المجني عليه مع مصلحة من يمثله، أو لم يكن له من يمثله، تقوم النيابة العامة مقامه.
"""قانون الإجراءات الجنائية - الكتاب الأول - في الدعوى الجنائية وجمع الاستدلالات والتحقيق - الباب الأول - في الدعوى الجنائية - الفصل الأول - فيمن له رفع الدعوى الجنائية وفي الأحوال التي يتوقف فيها رفعها على شكوى أو طلب - مادة 7""",ينقضي الحق في الشكوى بموت المجني عليه، وإذا حدثت الوفاة بعد تقديم الشكوى، فلا تؤثر على سير الدعوى.
