source,text
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الأولى""",يعمل في شأن الاستثمار في جمهورية مصر العربية بأحكام القانون المرافق. وتسري أحكامه على الاستثمار المحلي والأجنبي أياً كان حجمه، ويكون الاستثمار وفقاً لأحكام هذا القانون، إما بنظام الاستثمار الداخلي، أو بنظام المناطق الاستثمارية أو بنظام المناطق التكنولوجية، أو بنظام المناطق الحرة.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الثانية""",لا تخل أحكام القانون المرافق بالمزايا والإعفاءات الضريبية وغيرها من الضمانات والحوافز المقررة للشركات والمنشآت القائمة وقت العمل به، وتظل هذه الشركات والمنشآت محتفظة بتلك المزايا والإعفاءات والضمانات والحوافز إلى أن تنتهي المدد الخاصة بها، وذلك طبقاً للتشريعات والاتفاقيات المستمدة منها. ولا تخل أحكام القانون المرافق بأحكام القانون رقم 7 لسنة 1991 بشأن أملاك الدولة الخاصة، وقانون المناطق الاقتصادية ذات الطبيعة الخاصة الصادر بالقانون رقم 83 لسنة 2002، والقانون رقم 14 لسنة 2012 في شأن التنمية المتكاملة في شبه جزيرة سيناء، وقانون تيسير إجراءات منح تراخيص المنشآت الصناعية الصادر بالقانون رقم 15 لسنة 2017. كما لا تخل أحكام القانون المرافق بالشروط الموضوعية المقررة لمنح الموافقات والتصاريح والتراخيص المنصوص عليها في أي قوانين أخرى.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الثالثة""",تستبدل عبارة (قانون الاستثمار) بعبارة (قانون ضمانات وحوافز الاستثمار)، أينما وردت في القوانين والقرارات الأخرى.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الرابعة""",تستثنى شركات المساهمة الخاضعة لأحكام هذا القانون من تطبيق أحكام القانون رقم 113 لسنة 1958 في شأن التعيين في وظائف شركات المساهمة والمؤسسات العامة. كما لا تخضع شركات المساهمة لأحكام القانون رقم 73 لسنة 1973 بشأن تحديد شروط وإجراءات انتخاب ممثلي العمال في مجالس إدارة وحدات القطاع العام والشركات المساهمة والجمعيات والمؤسسات الخاصة، ويبين نظام الشركة طريقة اشتراك العاملين في إدارتها.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الخامسة""",تستثنى المنازعات الناشئة عن تطبيق أحكام هذا القانون والقانون المرافق له، من الخضوع لأحكام القانون رقم 7 لسنة 2000 بإنشاء لجان التوفيق في بعض المنازعات التي تكون الوزارات والأشخاص الاعتبارية العامة طرفاً فيها.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة السادسة""",تحال التظلمات والطلبات المنظورة أمام لجنتي فض منازعات الاستثمار وتسوية منازعات عقود الاستثمار القائمتين، إلى اللجنتين المنصوص عليهما في المادتين 85، 88 من القانون المرافق فور تشكيلهما دون الحاجة إلى أي إجراء آخر.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة السابعة""",يستمر العاملون المخاطبون بحكم الفقرة الثالثة من المادة (20) من قانون الاستثمار الصادر بالقانون رقم 230 لسنة 1989 في التمتع بذات الأوضاع المقررة لهم، ولا تخل هذه الأحكام بنظام توزيع الأرباح المطبق على الشركات القائمة وقت نفاذ هذا القانون إذا كان ذلك أفضل لهم.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة الثامنة""",يلغى قانون ضمانات وحوافز الاستثمار الصادر بالقانون رقم 8 لسنة 1997، كما يلغى كل حكم يخالف أحكام هذا القانون والقانون المرافق له.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة التاسعة""",يصدر رئيس مجلس الوزراء اللائحة التنفيذية للقانون المرافق، بناءً على عرض الوزير المختص وبعد موافقة مجلس الوزراء خلال تسعين يوماً من تاريخ العمل بهذا القانون، وإلى أن تصدر هذه اللائحة يستمر العمل باللوائح والقرارات السارية في تاريخ العمل به فيما لا يتعارض مع أحكامه.
"""قانون الاستثمار رقم 72 لسنة 2017 - المادة العاشرة""",ينشر هذا القانون في الجريدة الرسمية، ويعمل به من اليوم التالي لتاريخ نشره. يبصم هذا القانون بخاتم الدولة، وينفذ كقانون من قوانينها. صدر برئاسة الجمهورية في 5 رمضان سنة 1438هـ (الموافق 31 مايو سنة 2017 م). عبد الفتاح السيسي
