source,text
"""source""",text
"""القانون المدني المصري - المادة 1 من قانون الإصدار""",يلغي القانون المدني المعمول به أمام المحاكم الوطنية والصادر في 28 أكتوبر سنة 1883 والقانون المدني المعمول به أمام المحاكم المختلطة والصادر في 28 يونيو سنة 1875 ويستعاض عنهما بالقانون المدني المرافق لهذا القانون.
"""القانون المدني المصري - المادة 2 من قانون الإصدار""",على وزير العدل تنفيذ هذا القانون ويعمل به ابتداء من 15 أكتوبر سنة 1949.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 1""",1- تسري النصوص التشريعية على جميع المسائل التي تتناولها هذه النصوص في لفظها أو في فحواها. 2- فإذا لم يوجد نص تشريعي يمكن تطبيقه، حكم القاضي بمقتضى العرف، فإذا لم يوجد، فبمقتضى مبادئ الشريعة الإسلامية، فإذا لم توجد، فبمقتضى مبادئ القانون الطبيعي وقواعد العدالة.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 2""",لا يجوز إلغاء نص تشريعي إلا بتشريع لاحق ينص صراحة على هذا الإلغاء، أو يشتمل على نص يتعارض مع نص التشريع القديم، أو ينظم من جديد الموضوع الذي سبق أن قرر قواعده ذلك التشريع.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 3""",تحسب المواعيد بالتقويم الميلادي، ما لم ينص القانون على غير ذلك.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 4""",من استعمل حقه استعمالا مشروعاً لا يكون مسئولاً عما ينشأ عن ذلك من ضرر.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 5""",يكون استعمال الحق غير مشروع في الأحوال الآتية: (أ) إذا لم يقصد به سوى الإضرار بالغير. (ب) إذا كانت المصالح التي يرمي إلى تحقيقها قليلة الأهمية، بحيث لا تتناسب البتة مع ما يصيب الغير من ضرر بسببها. (ج) إذا كانت المصالح التي يرمي إلى تحقيقها غير مشروعة.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 6""",1- النصوص المتعلقة بالأهلية تسري على جميع الأشخاص الذين تنطبق عليهم الشروط المقررة في هذه النصوص. 2- وإذا عاد شخص توافرت فيه الأهلية، بحسب نصوص قديمة، ناقص الأهلية بحسب نصوص جديدة، فإن ذلك لا يؤثر في تصرفاته السابقة.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 7""",تسري النصوص الجديدة المتعلقة بالتقادم من وقت العمل بها على كل تقادم لم يكتمل. على أن النصوص القديمة هي التي تسري على المسائل الخاصة ببدء التقادم ووقفه وانقطاعه، وذلك عن المدة السابقة على العمل بالنصوص الجديدة.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 8""",1- إذا قرر النص الجديد مدة للتقادم أقصر مما قرره النص القديم سرت المدة الجديدة من وقت العمل بالنص الجديد، ولو كانت المدة القديمة قد بدأت قبل ذلك. 2- أما إذا كان الباقي من المدة التي نص عليها القانون القديم أقصر من المدة التي قررها النص الجديد، فإن التقادم يتم بانقضاء هذا الباقي.
"""القانون المدني المصري - الباب التمهيدي - الفصل الأول - مادة 9""",تسري في شأن الأدلة التي تعد مقدما النصوص المعمول بها في الوقت الذي أعد فيه الدليل، أو في الوقت الذي كان ينبغي فيه إعداده.
